,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indianapolis,81,84,84,83,84,83,77,76,79,83,80,74,81,82,82,78,80,85,85,85,85,72,70,69,73,75,77,78,77,79,73,,75,74,74,77,80,76,77,78,75,72,75,78,80,79,75,75,76,82,81,83,79,76,70,66,68,67,75,70,73,75,69,,70,74,76,72,67,70,69,67,73,79,79,82,80,73,74,45,73,74,74,78,78,76,72,70,70,68,72,77,76,81
Seattle,79,63,70,73,71,68,66,73,73,65,74,76,75,76,68,74,62,65,70,72,83,79,75,72,76,84,73,74,80,70,80,,79,74,74,79,85,83,82,68,74,72,67,76,77,80,78,69,70,70,71,76,63,71,72,71,68,70,75,81,73,72,75,,75,74,77,72,73,77,75,65,63,68,68,73,68,66,60,51,56,63,65,66,64,61,59,63,65,63,55,53,52,55
Denver,72,75,78,78,74,70,75,75,78,73,82,82,81,77,82,82,85,86,86,81,75,74,76,79,70,80,79,77,79,79,80,,73,77,80,78,77,81,79,74,78,75,73,76,78,77,81,80,75,80,82,81,76,77,75,76,81,68,67,76,79,76,78,,83,85,74,78,80,76,76,69,74,72,74,66,68,75,76,53,74,70,74,74,67,63,67,73,70,73,67,64,73,73
Washington,84,87,91,88,88,89,81,75,86,84,84,86,89,90,90,89,90,89,94,95,95,88,72,80,81,84,87,87,89,89,87,,87,81,87,86,84,86,86,85,85,81,81,85,81,84,82,85,88,90,90,89,87,88,74,74,74,71,71,81,80,84,83,,79,83,84,86,74,72,76,80,75,80,86,87,70,75,82,46,74,72,69,74,82,84,84,75,79,79,77,81,79,69
Boston,75,80,81,80,84,84,71,72,83,84,80,81,83,83,80,83,82,69,83,91,91,76,66,73,74,78,79,84,85,87,84,,80,79,82,76,75,77,80,82,79,74,75,79,77,68,72,75,76,82,85,82,83,84,77,69,64,66,71,73,76,79,76,,68,70,71,78,67,67,63,70,65,69,76,60,63,67,74,42,63,59,59,70,76,77,80,73,67,73,69,71,67,58
El Paso,90,89,88,88,88,85,82,85,88,91,88,87,89,89,91,92,89,85,87,90,95,83,78,81,84,87,88,87,87,86,86,,85,88,89,86,86,84,90,82,87,83,82,86,90,89,86,87,88,89,88,88,87,84,84,81,85,89,91,84,83,83,82,,84,83,82,83,81,83,83,84,80,79,78,84,82,77,71,45,79,83,81,79,79,74,79,78,80,80,77,78,80,80
Nashville,85,85,84,85,86,84,85,85,86,87,86,86,84,77,76,81,82,78,86,86,84,80,74,76,77,79,82,82,82,80,82,,83,82,84,81,84,83,82,85,84,85,87,82,86,84,82,85,85,85,87,88,86,83,83,76,75,70,81,78,78,84,82,,81,83,86,87,77,80,75,82,83,86,85,87,87,82,86,47,85,86,78,75,77,78,76,74,77,78,81,82,85,85
Detroit,77,84,79,82,85,81,74,73,78,82,82,76,80,76,79,74,79,81,86,87,78,74,73,72,78,78,78,78,80,79,72,,72,76,78,79,82,73,77,78,75,74,77,78,72,74,73,74,79,81,77,81,82,71,69,66,69,70,76,72,71,72,67,,68,74,74,69,68,66,70,66,66,75,82,70,76,69,71,43,71,72,70,75,79,78,73,70,72,67,68,69,60,69
Oklahoma City,80,82,81,79,84,84,84,84,84,86,80,79,81,80,80,88,87,88,88,87,88,76,75,75,77,78,80,84,88,85,88,,89,88,79,80,84,87,90,89,87,90,92,92,76,84,85,90,90,92,91,92,91,89,80,81,80,88,75,77,83,83,76,,79,83,85,84,86,87,87,86,86,84,83,83,78,81,84,47,84,83,81,79,78,78,77,77,83,77,82,81,78,80
Portland,72,65,67,73,72,64,67,71,66,67,74,75,75,75,62,74,63,69,68,74,80,77,73,72,77,80,74,74,74,72,77,,78,72,78,82,82,80,72,65,74,73,67,75,79,78,75,70,70,72,74,77,63,68,72,73,68,72,84,86,78,73,76,,76,75,75,73,78,75,71,63,63,66,68,74,70,70,57,48,55,59,61,61,66,59,61,68,63,63,55,52,50,53
