,January,February,March,April,May,June,July,August,September,October,November,December
Sacramento,"['45', '44', '45', '46', '49', '49', '50', '52', '53', '51', '53', '51', '49', '49', '49', '52', '52', '50', '53', '51', '49', '47', '49', '48', '49', '51', '54', '53', '55', '55', '56']","['53', '54', '51', '46', '43', '46', '46', '48', '47', '46', '47', '48', '51', '54', '49', '49', '46', '47', '45', '47', '47', '47', '49', '50', '49', '52', '55', '56']","['54', '54', '54', '57', '51', '55', '52', '50', '46', '53', '56', '56', '51', '54', '57', '63', '62', '66', '64', '56', '58', '54', '59', '57', '56', '56', '56', '57', '58', '59', '63']","['65', '60', '62', '59', '55', '62', '68', '69', '61', '60', '61', '63', '68', '66', '55', '61', '68', '78', '76', '64', '66', '72', '78', '82', '82', '77', '77', '72', '72', '65']","['72', '75', '74', '75', '68', '64', '71', '75', '76', '82', '77', '79', '74', '70', '60', '56', '61', '55', '56', '64', '60', '66', '70', '73', '69', '61', '67', '73', '79', '76', '82']","['87', '81', '84', '90', '93', '80', '72', '78', '87', '92', '96', '96', '91', '83', '78', '84', '88', '95', '88', '78', '81', '86', '91', '86', '84', '76', '74', '78', '80', '84']","['81', '81', '83', '86', '90', '87', '79', '77', '82', '84', '88', '92', '91', '90', '89', '85', '88', '86', '82', '83', '86', '92', '90', '94', '94', '90', '97', '98', '85', '82', '88']","['85', '88', '92', '91', '87', '90', '84', '79', '78', '80', '84', '91', '92', '97', '100', '98', '87', '80', '81', '83', '86', '91', '91', '88', '92', '95', '95', '88', '82', '86', '91']","['94', '92', '89', '88', '88', '86', '75', '78', '76', '75', '82', '89', '91', '92', '79', '56', '77', '71', '73', '78', '83', '82', '81', '89', '89', '86', '73', '64', '64', '62']","['68', '73', '70', '67', '75', '78', '81', '78', '68', '70', '73', '75', '73', '75', '76', '71', '68', '67', '68', '69', '75', '78', '79', '80', '80', '78', '68', '65', '61', '60', '64']","['67', '70', '72', '73', '72', '70', '73', '74', '73', '70', '68', '70', '67', '62', '62', '66', '69', '71', '63', '64', '60', '61', '62', '61', '57', '49', '48', '48', '47', '47']","['54', '55', '58', '53', '57', '59', '60', '58', '58', '56', '56', '60', '57', '55', '50', '52', '50', '53', '55', '55', '55', '53', '51', '48', '48', '49', '47', '48', '49', '52', '51']"
Atlanta,"['58', '52', '51', '54', '48', '52', '51', '54', '44', '35', '41', '39', '41', '42', '42', '43', '46', '53', '56', '38', '32', '36', '49', '40', '34', '36', '40', '44', '35', '31', '36']","['41', '49', '51', '53', '60', '60', '67', '54', '45', '40', '50', '61', '47', '49', '56', '58', '52', '52', '41', '44', '55', '55', '54', '59', '49', '51', '54', '50']","['50', '48', '46', '42', '38', '37', '50', '55', '59', '61', '63', '62', '61', '64', '59', '53', '58', '54', '52', '57', '55', '54', '64', '65', '62', '57', '55', '60', '65', '69', '60']","['52', '54', '66', '65', '66', '68', '71', '73', '73', '75', '75', '75', '75', '74', '57', '67', '73', '73', '67', '48', '63', '75', '77', '78', '73', '69', '73', '74', '78', '81']","['79', '80', '81', '78', '75', '77', '80', '79', '78', '78', '75', '74', '71', '69', '73', '79', '84', '84', '84', '83', '88', '86', '85', '88', '90', '92', '91', '89', '89', '88', '84']","['84', '85', '86', '82', '82', '78', '81', '81', '78', '82', '81', '68', '77', '80', '80', '83', '88', '82', '83', '87', '87', '90', '87', '86', '84', '87', '88', '86', '83', '88']","['90', '91', '92', '91', '90', '91', '88', '90', '87', '86', '87', '88', '89', '89', '91', '91', '90', '89', '90', '87', '86', '88', '82', '83', '82', '81', '83', '82', '84', '85', '87']","['87', '84', '85', '79', '86', '88', '89', '90', '90', '91', '88', '88', '92', '92', '90', '92', '96', '92', '91', '87', '89', '88', '90', '85', '73', '73', '80', '84', '85', '85', '83']","['82', '84', '87', '88', '89', '85', '88', '93', '93', '89', '90', '92', '92', '82', '86', '48', '91', '79', '73', '74', '81', '83', '84', '85', '87', '87', '88', '84', '87', '90']","['82', '89', '91', '92', '74', '73', '77', '76', '72', '73', '73', '75', '72', '72', '66', '69', '59', '61', '53', '68', '72', '69', '66', '64', '61', '68', '69', '72', '67', '68', '66']","['53', '56', '57', '54', '63', '63', '61', '55', '51', '60', '60', '43', '40', '41', '44', '54', '53', '58', '53', '56', '58', '59', '62', '48', '56', '57', '62', '54', '61', '63']","['61', '41', '40', '49', '55', '54', '57', '48', '55', '59', '46', '45', '44', '50', '52', '58', '57', '41', '45', '46', '46', '43', '53', '61', '57', '56', '56', '57', '66', '55', '47']"
Kansas City,"['18', '22', '33', '38', '44', '44', '51', '43', '32', '33', '38', '36', '31', '33', '36', '32', '33', '28', '19', '18', '31', '38', '26', '22', '22', '22', '27', '25', '18', '7', '21']","['34', '47', '54', '42', '28', '34', '28', '17', '22', '33', '34', '29', '40', '42', '18', '20', '27', '22', '24', '32', '30', '36', '39', '30', '28', '37', '27', '27']","['34', '19', '16', '9', '18', '26', '35', '37', '54', '39', '42', '48', '57', '46', '41', '46', '43', '48', '45', '49', '47', '53', '53', '57', '49', '51', '58', '60', '51', '45', '44']","['45', '51', '54', '55', '58', '61', '65', '68', '66', '70', '62', '45', '48', '47', '59', '67', '69', '56', '54', '62', '70', '69', '56', '59', '65', '61', '66', '50', '63', '62']","['63', '57', '56', '60', '64', '67', '67', '67', '51', '55', '51', '58', '61', '67', '74', '78', '77', '71', '66', '57', '57', '67', '68', '76', '78', '78', '77', '74', '74', '67', '75']","['78', '72', '70', '76', '82', '78', '78', '75', '76', '68', '70', '68', '65', '68', '79', '77', '73', '74', '72', '75', '78', '82', '75', '70', '76', '82', '82', '83', '83', '82']","['82', '80', '81', '80', '82', '81', '76', '78', '81', '84', '74', '79', '82', '82', '75', '79', '84', '86', '86', '85', '79', '74', '70', '75', '74', '76', '77', '79', '79', '76', '75']","['74', '74', '76', '78', '80', '80', '79', '78', '78', '81', '79', '84', '82', '77', '75', '80', '80', '73', '84', '87', '85', '74', '73', '69', '68', '74', '72', '72', '78', '70', '67']","['72', '76', '82', '72', '76', '77', '72', '77', '80', '79', '80', '80', '70', '72', '82', '46', '82', '82', '80', '76', '73', '73', '69', '70', '74', '65', '81', '66', '75', '80']","['79', '76', '57', '54', '63', '61', '64', '60', '60', '66', '42', '50', '55', '59', '61', '50', '55', '61', '55', '59', '54', '53', '58', '45', '48', '49', '54', '42', '37', '32', '32']","['42', '43', '49', '49', '46', '54', '34', '35', '49', '51', '25', '17', '31', '34', '42', '44', '47', '46', '52', '57', '51', '36', '36', '48', '49', '47', '37', '31', '38', '55']","['35', '34', '42', '45', '48', '39', '39', '46', '39', '30', '38', '45', '45', '32', '26', '23', '24', '25', '34', '37', '41', '44', '45', '50', '57', '49', '39', '56', '42', '32', '35']"
Colorado Springs,"['10', '26', '37', '42', '43', '46', '43', '37', '37', '43', '35', '33', '31', '37', '39', '37', '42', '38', '34', '43', '48', '27', '31', '29', '33', '34', '41', '25', '26', '28', '35']","['38', '42', '47', '46', '42', '36', '23', '27', '36', '33', '33', '36', '45', '56', '42', '38', '29', '11', '14', '21', '24', '28', '27', '28', '34', '38', '38', '42']","['45', '27', '10', '14', '19', '34', '44', '46', '38', '33', '41', '49', '38', '32', '36', '42', '44', '41', '39', '46', '45', '48', '47', '47', '49', '53', '61', '62', '49', '35', '37']","['48', '46', '49', '55', '59', '57', '57', '61', '66', '55', '35', '35', '38', '51', '61', '62', '53', '54', '59', '68', '59', '49', '52', '62', '56', '63', '60', '66', '47', '47']","['52', '48', '56', '60', '62', '65', '55', '48', '38', '41', '54', '60', '65', '69', '72', '72', '64', '53', '52', '60', '41', '50', '44', '56', '60', '68', '66', '55', '53', '59', '67']","['70', '70', '75', '74', '68', '71', '75', '75', '56', '62', '72', '63', '72', '76', '66', '68', '68', '66', '71', '76', '72', '61', '61', '69', '74', '77', '81', '84', '82', '80']","['72', '74', '79', '82', '81', '70', '73', '74', '79', '74', '78', '80', '79', '79', '80', '80', '84', '86', '87', '85', '75', '68', '72', '76', '75', '78', '76', '77', '78', '81', '80']","['77', '75', '77', '77', '77', '81', '77', '74', '74', '76', '76', '77', '74', '74', '81', '80', '80', '82', '82', '81', '78', '74', '74', '76', '82', '72', '66', '73', '81', '74', '75']","['79', '82', '77', '76', '82', '77', '78', '69', '73', '73', '75', '66', '68', '75', '75', '51', '73', '70', '73', '72', '66', '60', '66', '71', '70', '68', '68', '59', '69', '72']","['64', '62', '53', '60', '55', '52', '57', '65', '66', '29', '36', '51', '58', '61', '54', '60', '66', '61', '53', '45', '45', '50', '50', '31', '46', '59', '30', '19', '16', '12', '32']","['33', '33', '50', '39', '45', '49', '37', '52', '58', '54', '25', '41', '51', '40', '53', '55', '42', '51', '52', '46', '29', '25', '39', '46', '38', '23', '19', '30', '37', '32']","['33', '46', '46', '43', '39', '37', '47', '45', '32', '34', '37', '40', '40', '33', '25', '22', '25', '37', '34', '38', '43', '46', '47', '44', '41', '35', '29', '26', '23', '25', '30']"
Omaha,"['9', '18', '31', '36', '36', '35', '38', '36', '27', '29', '35', '31', '32', '33', '30', '27', '24', '20', '8', '10', '19', '22', '17', '15', '17', '19', '18', '11', '8', '-5', '9']","['23', '37', '46', '21', '17', '21', '11', '3', '20', '25', '23', '20', '22', '23', '10', '10', '18', '13', '9', '22', '14', '27', '28', '18', '11', '14', '9', '14']","['13', '1', '3', '3', '12', '18', '26', '28', '36', '28', '30', '39', '53', '42', '37', '42', '39', '38', '44', '45', '44', '46', '45', '49', '44', '48', '58', '50', '47', '39', '40']","['47', '45', '44', '44', '57', '63', '62', '66', '62', '51', '50', '38', '43', '43', '58', '65', '67', '53', '53', '62', '69', '58', '56', '62', '61', '56', '54', '46', '55', '51']","['51', '53', '58', '61', '66', '60', '51', '56', '47', '53', '55', '52', '58', '67', '73', '79', '77', '73', '54', '51', '49', '59', '62', '74', '72', '70', '75', '61', '64', '66', '75']","['73', '68', '68', '73', '80', '80', '78', '76', '62', '67', '68', '64', '64', '67', '77', '73', '69', '68', '68', '71', '73', '74', '72', '67', '72', '78', '81', '81', '84', '84']","['80', '80', '80', '78', '76', '73', '73', '76', '78', '73', '72', '76', '78', '79', '77', '79', '82', '84', '84', '83', '71', '68', '68', '70', '67', '76', '76', '76', '73', '68', '71']","['73', '70', '71', '75', '77', '74', '77', '73', '73', '79', '78', '77', '76', '68', '69', '73', '73', '70', '74', '83', '68', '69', '71', '69', '69', '67', '68', '69', '77', '69', '67']","['71', '76', '82', '68', '78', '73', '71', '71', '72', '79', '80', '75', '67', '74', '78', '46', '82', '82', '79', '78', '80', '60', '69', '74', '67', '64', '70', '60', '73', '81']","['75', '57', '49', '49', '60', '58', '59', '60', '62', '58', '38', '46', '45', '51', '52', '47', '54', '62', '59', '57', '50', '50', '55', '42', '45', '46', '43', '35', '35', '28', '33']","['38', '41', '44', '44', '38', '42', '26', '35', '49', '41', '19', '13', '27', '30', '42', '47', '48', '46', '50', '52', '41', '32', '37', '47', '49', '36', '29', '29', '35', '49']","['29', '26', '41', '41', '45', '31', '38', '42', '23', '17', '24', '38', '36', '17', '19', '22', '26', '25', '34', '37', '38', '42', '41', '45', '52', '33', '34', '43', '33', '26', '27']"
Raleigh,"['63', '48', '48', '51', '50', '54', '49', '54', '47', '41', '37', '40', '35', '36', '38', '42', '41', '49', '48', '49', '26', '32', '47', '58', '41', '36', '41', '40', '45', '31', '29']","['37', '45', '50', '54', '58', '65', '69', '65', '41', '40', '45', '56', '50', '51', '58', '46', '41', '53', '40', '39', '49', '48', '45', '63', '51', '51', '52', '48']","['44', '50', '40', '45', '40', '34', '44', '43', '44', '66', '60', '52', '56', '64', '68', '51', '52', '52', '47', '41', '51', '54', '52', '59', '65', '50', '48', '58', '62', '65', '56']","['45', '43', '58', '65', '58', '66', '65', '71', '72', '67', '70', '68', '73', '74', '61', '60', '70', '73', '73', '59', '59', '66', '73', '77', '77', '72', '66', '71', '63', '79']","['79', '78', '77', '80', '75', '71', '74', '76', '76', '76', '75', '72', '73', '64', '69', '73', '81', '87', '83', '82', '79', '75', '79', '87', '84', '88', '86', '87', '89', '88', '86']","['78', '81', '78', '76', '79', '82', '79', '76', '76', '82', '76', '69', '79', '73', '75', '82', '87', '85', '79', '86', '79', '75', '78', '86', '84', '84', '88', '86', '87', '88']","['83', '88', '91', '90', '85', '87', '84', '88', '81', '83', '86', '84', '89', '89', '88', '90', '89', '88', '90', '91', '90', '90', '77', '77', '79', '80', '81', '85', '84', '84', '86']","['86', '80', '83', '86', '80', '83', '85', '85', '88', '84', '82', '83', '85', '86', '85', '87', '83', '87', '87', '85', '85', '87', '84', '72', '73', '74', '74', '81', '80', '84', '83']","['79', '81', '84', '83', '71', '77', '81', '84', '84', '81', '84', '87', '79', '79', '81', '46', '80', '72', '67', '72', '76', '79', '80', '81', '78', '83', '80', '82', '85', '78']","['78', '85', '89', '82', '64', '74', '76', '67', '68', '66', '70', '73', '71', '74', '68', '64', '57', '59', '59', '66', '64', '67', '63', '64', '66', '69', '76', '67', '68', '65', '75']","['51', '58', '53', '56', '64', '59', '62', '45', '45', '51', '57', '45', '34', '41', '44', '43', '45', '46', '50', '51', '51', '55', '48', '50', '53', '55', '56', '51', '47', '47']","['58', '46', '43', '48', '48', '51', '46', '45', '53', '66', '41', '39', '44', '54', '51', '56', '63', '41', '39', '46', '41', '45', '46', '54', '50', '53', '58', '62', '63', '68', '51']"
Miami,"['76', '77', '76', '73', '71', '67', '71', '74', '71', '63', '68', '72', '73', '71', '65', '67', '69', '71', '72', '71', '58', '66', '72', '73', '63', '64', '69', '61', '62', '60', '67']","['69', '70', '70', '71', '72', '74', '74', '75', '74', '75', '75', '77', '72', '73', '74', '73', '76', '76', '76', '78', '78', '78', '78', '78', '76', '76', '78', '74']","['75', '74', '75', '80', '77', '68', '69', '73', '76', '78', '77', '76', '76', '76', '77', '78', '79', '75', '71', '74', '73', '70', '72', '75', '76', '78', '75', '74', '74', '76', '77']","['79', '80', '75', '77', '79', '80', '80', '80', '81', '81', '80', '81', '81', '83', '84', '79', '78', '81', '82', '77', '76', '76', '77', '76', '80', '84', '79', '81', '80', '80']","['79', '82', '83', '83', '83', '84', '84', '83', '83', '83', '84', '84', '87', '86', '83', '81', '80', '82', '83', '83', '83', '83', '82', '80', '81', '82', '82', '82', '83', '84', '84']","['86', '86', '86', '86', '85', '85', '86', '87', '87', '87', '87', '87', '88', '84', '85', '84', '81', '84', '86', '85', '86', '87', '86', '86', '88', '87', '86', '85', '85', '85']","['87', '87', '88', '85', '86', '85', '85', '85', '86', '85', '85', '86', '85', '85', '85', '85', '86', '85', '86', '86', '86', '86', '85', '87', '87', '86', '87', '87', '87', '87', '86']","['86', '86', '87', '86', '84', '86', '84', '86', '87', '87', '88', '87', '87', '87', '87', '87', '87', '86', '86', '86', '86', '85', '85', '86', '87', '88', '88', '88', '87', '85', '86']","['87', '85', '85', '87', '88', '87', '86', '86', '85', '85', '84', '85', '84', '84', '85', '47', '86', '84', '81', '82', '82', '80', '80', '81', '81', '82', '82', '83', '82', '83']","['82', '82', '82', '82', '82', '82', '80', '81', '82', '83', '82', '80', '81', '81', '81', '83', '84', '84', '84', '85', '84', '83', '84', '83', '83', '84', '84', '83', '83', '83', '83']","['83', '82', '82', '81', '82', '81', '81', '81', '76', '76', '78', '81', '78', '79', '77', '72', '67', '69', '75', '71', '74', '75', '77', '80', '71', '75', '78', '76', '76', '75']","['77', '78', '65', '71', '68', '73', '74', '76', '77', '79', '79', '78', '78', '78', '73', '78', '79', '77', '71', '73', '74', '75', '74', '69', '73', '78', '77', '78', '77', '77', '75']"
Long Beach,"['54', '55', '56', '54', '55', '56', '56', '59', '57', '57', '56', '57', '56', '55', '56', '57', '58', '58', '63', '60', '58', '57', '58', '60', '63', '68', '62', '61', '60', '58', '58']","['57', '56', '57', '54', '51', '56', '61', '63', '54', '52', '52', '54', '54', '59', '56', '54', '51', '50', '51', '52', '51', '50', '53', '56', '56', '57', '58', '62']","['60', '58', '58', '60', '64', '59', '61', '58', '58', '56', '61', '63', '64', '68', '68', '75', '78', '75', '70', '64', '61', '62', '63', '65', '70', '68', '66', '65', '67', '74', '80']","['77', '67', '63', '61', '62', '66', '71', '80', '74', '71', '69', '67', '72', '69', '64', '63', '67', '75', '72', '61', '63', '67', '71', '72', '73', '69', '64', '66', '64', '63']","['65', '68', '69', '68', '66', '66', '64', '65', '66', '65', '69', '71', '70', '72', '67', '65', '68', '68', '63', '65', '65', '68', '63', '69', '66', '58', '65', '67', '72', '70', '67']","['65', '67', '68', '69', '72', '71', '71', '75', '73', '80', '85', '78', '74', '68', '68', '68', '67', '67', '69', '67', '67', '70', '71', '68', '66', '67', '71', '73', '75', '78']","['76', '75', '71', '72', '70', '72', '69', '69', '70', '73', '77', '77', '78', '78', '80', '81', '73', '72', '70', '71', '76', '76', '80', '81', '77', '80', '81', '79', '77', '76', '75']","['77', '80', '80', '78', '81', '77', '73', '74', '75', '76', '75', '75', '78', '82', '80', '78', '69', '70', '74', '77', '79', '78', '72', '78', '79', '78', '78', '76', '78', '80', '80']","['80', '80', '83', '83', '81', '82', '80', '74', '75', '72', '73', '79', '86', '85', '80', '54', '76', '75', '72', '74', '79', '79', '76', '79', '77', '72', '70', '69', '69', '69']","['70', '75', '72', '73', '76', '78', '78', '74', '69', '77', '77', '77', '70', '68', '77', '78', '69', '71', '73', '78', '83', '85', '81', '87', '84', '78', '68', '71', '67', '68', '70']","['75', '74', '73', '73', '76', '72', '71', '78', '81', '74', '72', '74', '68', '67', '65', '72', '80', '80', '71', '60', '62', '65', '70', '70', '65', '64', '58', '55', '55', '58']","['62', '63', '65', '61', '63', '67', '65', '63', '64', '64', '65', '65', '68', '63', '60', '63', '61', '60', '64', '66', '65', '63', '57', '58', '56', '51', '59', '58', '58', '59', '64']"
Virginia Beach,"['55', '46', '46', '50', '51', '48', '45', '47', '45', '41', '38', '41', '42', '39', '40', '44', '42', '44', '46', '46', '29', '31', '49', '52', '39', '37', '43', '41', '45', '32', '30']","['35', '40', '45', '50', '51', '47', '54', '54', '37', '39', '46', '52', '48', '45', '52', '40', '43', '48', '39', '45', '50', '45', '48', '55', '47', '42', '43', '41']","['45', '43', '37', '39', '34', '30', '36', '44', '42', '55', '48', '42', '45', '49', '55', '46', '42', '47', '42', '47', '52', '49', '44', '49', '54', '44', '45', '48', '52', '53', '49']","['39', '49', '50', '52', '53', '53', '54', '59', '59', '55', '57', '58', '59', '61', '58', '52', '57', '61', '62', '60', '56', '57', '62', '64', '65', '66', '61', '66', '59', '66']","['66', '69', '67', '68', '69', '59', '63', '65', '66', '68', '66', '69', '64', '60', '60', '66', '70', '68', '70', '73', '65', '66', '71', '72', '70', '74', '73', '75', '80', '80', '75']","['76', '80', '73', '74', '78', '82', '75', '75', '77', '81', '72', '73', '79', '71', '74', '79', '83', '83', '79', '83', '79', '75', '77', '79', '82', '82', '83', '85', '84', '84']","['76', '77', '80', '79', '80', '80', '80', '79', '75', '76', '79', '81', '79', '81', '79', '82', '83', '83', '82', '84', '85', '85', '78', '74', '75', '76', '76', '76', '77', '77', '78']","['78', '77', '77', '78', '75', '76', '78', '79', '79', '77', '77', '78', '78', '80', '79', '79', '79', '77', '81', '80', '81', '81', '78', '75', '73', '73', '74', '74', '74', '75', '75']","['76', '76', '76', '78', '77', '75', '75', '77', '76', '74', '75', '77', '74', '76', '76', '43', '75', '70', '66', '67', '70', '72', '74', '74', '72', '77', '73', '76', '74', '72']","['72', '77', '76', '73', '66', '72', '73', '70', '69', '64', '63', '65', '69', '68', '66', '68', '59', '56', '60', '69', '62', '66', '63', '64', '67', '66', '72', '62', '66', '65', '70']","['53', '54', '54', '58', '65', '56', '62', '46', '46', '54', '58', '51', '37', '49', '52', '52', '56', '51', '50', '51', '48', '55', '49', '52', '51', '54', '57', '50', '44', '44']","['55', '47', '44', '46', '45', '51', '44', '50', '58', '61', '40', '42', '55', '56', '49', '52', '59', '41', '33', '40', '43', '44', '51', '49', '50', '50', '53', '52', '55', '60', '51']"
Oakland,"['48', '46', '48', '49', '51', '53', '55', '54', '54', '52', '54', '52', '54', '52', '52', '54', '53', '54', '56', '52', '52', '52', '52', '54', '54', '56', '57', '56', '54', '55', '55']","['53', '54', '53', '48', '47', '48', '48', '48', '50', '49', '50', '50', '55', '53', '50', '49', '48', '49', '48', '50', '50', '49', '51', '51', '52', '54', '55', '58']","['55', '54', '55', '55', '52', '55', '51', '51', '49', '53', '55', '55', '55', '55', '58', '62', '62', '65', '62', '56', '58', '55', '56', '59', '57', '59', '56', '57', '58', '60', '63']","['65', '58', '59', '58', '57', '60', '65', '65', '60', '61', '59', '62', '65', '59', '54', '59', '65', '72', '68', '58', '63', '69', '74', '74', '70', '70', '67', '65', '63', '61']","['66', '65', '66', '64', '58', '59', '63', '65', '63', '68', '65', '64', '62', '60', '59', '55', '58', '54', '57', '60', '57', '63', '66', '64', '61', '56', '58', '64', '67', '61', '68']","['70', '66', '68', '74', '75', '65', '65', '73', '77', '83', '80', '77', '72', '67', '61', '65', '70', '72', '70', '66', '70', '75', '77', '70', '69', '64', '64', '66', '67', '68']","['65', '65', '66', '68', '70', '68', '63', '62', '65', '67', '69', '70', '72', '69', '71', '68', '70', '68', '69', '68', '70', '73', '70', '75', '73', '72', '76', '75', '65', '64', '70']","['67', '69', '73', '70', '68', '69', '64', '64', '68', '70', '71', '74', '76', '81', '81', '78', '68', '65', '66', '66', '70', '71', '74', '71', '75', '78', '76', '74', '68', '70', '75']","['78', '75', '72', '72', '67', '68', '64', '67', '67', '65', '73', '79', '82', '76', '65', '49', '66', '66', '67', '72', '75', '72', '70', '79', '80', '74', '64', '62', '60', '60']","['62', '65', '62', '63', '72', '73', '74', '69', '64', '65', '67', '69', '64', '65', '66', '61', '62', '61', '62', '63', '69', '73', '73', '77', '75', '69', '64', '60', '63', '59', '64']","['65', '67', '68', '68', '69', '63', '68', '66', '66', '63', '68', '67', '63', '57', '59', '63', '69', '66', '58', '60', '56', '58', '60', '61', '55', '50', '50', '47', '48', '48']","['55', '58', '58', '54', '56', '58', '59', '58', '59', '55', '58', '60', '56', '53', '51', '51', '51', '53', '56', '56', '56', '53', '51', '49', '50', '51', '51', '52', '53', '54', '54']"
Minneapolis,"['5', '17', '30', '31', '33', '26', '30', '27', '12', '18', '28', '29', '29', '32', '31', '18', '21', '13', '6', '4', '12', '18', '16', '4', '-1', '6', '-1', '7', '-11', '-20', '-16']","['8', '29', '36', '20', '8', '20', '22', '-8', '1', '13', '19', '18', '12', '21', '5', '9', '19', '11', '7', '23', '17', '20', '28', '21', '3', '3', '6', '8']","['13', '5', '-0', '-1', '6', '11', '10', '21', '32', '25', '18', '32', '37', '37', '29', '25', '29', '32', '38', '37', '35', '39', '45', '42', '37', '42', '56', '43', '40', '33', '39']","['40', '43', '43', '40', '48', '52', '58', '60', '52', '35', '32', '32', '32', '37', '43', '53', '47', '47', '53', '60', '65', '49', '54', '62', '61', '51', '44', '44', '50', '43']","['44', '48', '53', '61', '56', '51', '52', '42', '42', '51', '55', '54', '58', '59', '67', '72', '58', '49', '43', '52', '54', '56', '54', '57', '63', '68', '57', '54', '62', '72', '78']","['65', '65', '71', '72', '73', '77', '79', '74', '66', '66', '63', '63', '64', '69', '66', '59', '69', '68', '67', '66', '69', '62', '74', '66', '71', '76', '74', '77', '79', '85']","['75', '78', '78', '81', '77', '76', '75', '76', '74', '69', '75', '76', '80', '78', '80', '84', '79', '82', '84', '72', '74', '70', '73', '75', '72', '76', '77', '72', '68', '71', '68']","['73', '77', '77', '79', '76', '76', '76', '69', '72', '65', '74', '69', '74', '69', '70', '71', '73', '72', '71', '73', '69', '68', '66', '66', '66', '66', '64', '64', '69', '66', '58']","['65', '71', '73', '65', '68', '69', '64', '53', '61', '73', '65', '63', '58', '65', '73', '44', '78', '77', '79', '75', '75', '64', '65', '70', '63', '60', '61', '56', '54', '74']","['55', '52', '49', '49', '52', '55', '57', '61', '62', '59', '37', '35', '37', '41', '45', '45', '48', '55', '57', '57', '55', '43', '41', '39', '43', '47', '42', '34', '35', '31', '32']","['35', '34', '39', '36', '29', '31', '22', '23', '35', '29', '17', '14', '24', '22', '34', '39', '36', '37', '39', '39', '34', '29', '34', '37', '41', '35', '30', '22', '29', '33']","['29', '14', '27', '30', '28', '13', '25', '29', '19', '-3', '-7', '16', '11', '4', '-5', '10', '13', '0', '21', '28', '28', '31', '29', '32', '34', '28', '22', '30', '37', '28', '17']"
Tulsa,"['27', '27', '31', '39', '41', '49', '58', '49', '41', '39', '41', '38', '39', '39', '43', '46', '46', '49', '27', '26', '42', '49', '30', '35', '27', '36', '41', '38', '30', '27', '29']","['46', '54', '58', '56', '45', '66', '46', '29', '31', '38', '42', '41', '49', '55', '34', '32', '36', '30', '32', '36', '41', '41', '52', '41', '44', '46', '39', '36']","['43', '36', '29', '21', '29', '36', '45', '54', '66', '45', '49', '54', '63', '52', '44', '49', '55', '57', '58', '54', '53', '57', '56', '65', '52', '56', '59', '64', '62', '51', '45']","['45', '55', '60', '64', '62', '64', '66', '68', '73', '75', '58', '50', '50', '52', '62', '65', '68', '59', '56', '62', '69', '66', '63', '61', '66', '66', '72', '57', '68', '73']","['72', '62', '65', '62', '65', '73', '74', '70', '55', '54', '57', '63', '65', '72', '75', '76', '75', '71', '68', '66', '70', '73', '78', '78', '77', '78', '77', '73', '75', '70', '75']","['78', '77', '78', '79', '80', '74', '75', '76', '77', '68', '70', '71', '66', '71', '77', '78', '72', '77', '77', '80', '84', '82', '79', '77', '78', '80', '81', '83', '83', '80']","['81', '80', '81', '79', '83', '83', '82', '83', '84', '85', '78', '79', '81', '79', '77', '84', '86', '86', '86', '86', '85', '77', '74', '76', '77', '76', '78', '82', '81', '81', '83']","['84', '80', '79', '81', '83', '86', '88', '82', '80', '84', '87', '87', '80', '82', '82', '85', '86', '88', '88', '87', '88', '82', '77', '78', '74', '83', '76', '77', '81', '76', '73']","['78', '82', '83', '85', '85', '85', '84', '84', '83', '81', '82', '82', '78', '80', '83', '47', '83', '83', '82', '72', '79', '75', '76', '74', '82', '72', '79', '79', '79', '80']","['80', '81', '67', '66', '71', '61', '61', '63', '63', '74', '48', '51', '57', '63', '70', '53', '58', '61', '63', '66', '59', '58', '62', '48', '46', '53', '59', '49', '38', '39', '38']","['43', '47', '50', '54', '53', '62', '39', '39', '50', '59', '34', '26', '36', '40', '45', '47', '51', '53', '57', '59', '61', '40', '40', '51', '52', '61', '42', '39', '44', '58']","['40', '39', '45', '50', '56', '45', '45', '53', '51', '39', '41', '45', '48', '43', '44', '30', '34', '40', '43', '45', '47', '47', '49', '52', '59', '58', '48', '61', '43', '41', '40']"
